sequence_name,FSIG_a_mean,FSIG_a_var,FSIG_lt_mean,FSIG_lt_var,FSIG_lb_mean,FSIG_lb_var,FSIG_rt_mean,FSIG_rt_var,FSIG_rb_mean,FSIG_rb_var
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_2500_2625_854x480_HW_Q3_CRF10.bin,11.39915,14.66551,24.54373,50.32653,27.47602,114.4559,17.33071,52.24043,15.12371,36.97595
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_250_375_854x480_HW_Q3_CRF10.bin,8.965059,3028.114,12.00954,2497.818,11.73564,3062.793,10.51245,3000.554,13.56141,3873.749
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_2625_2750_854x480_HW_Q3_CRF10.bin,8.965059,3028.114,12.00954,2497.818,11.73564,3062.793,10.51245,3000.554,13.56141,3873.749
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_2750_2875_854x480_HW_Q3_CRF10.bin,8.965059,3028.114,12.00954,2497.818,11.73564,3062.793,10.51245,3000.554,13.56141,3873.749
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_2875_3000_854x480_HW_Q3_CRF10.bin,8.965059,3028.114,12.00954,2497.818,11.73564,3062.793,10.51245,3000.554,13.56141,3873.749
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_375_500_854x480_HW_Q3_CRF10.bin,0.1586602,0.131454,0.05521739,0.1103159,0.3688479,0.5189199,0.04688378,0.09444288,0.3840586,0.5747026
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_500_625_854x480_HW_Q3_CRF10.bin,0.1814587,0.1847158,0.06716993,0.1563823,0.3932968,0.5502752,0.06522777,0.1453709,0.4147649,0.6242219
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_625_750_854x480_HW_Q3_CRF10.bin,0.1814587,0.1847158,0.06716993,0.1563823,0.3932968,0.5502752,0.06522777,0.1453709,0.4147649,0.6242219
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_750_875_854x480_HW_Q3_CRF10.bin,0.1814587,0.1847158,0.06716993,0.1563823,0.3932968,0.5502752,0.06522777,0.1453709,0.4147649,0.6242219
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_875_1000_854x480_HW_Q3_CRF10.bin,0.1814587,0.1847158,0.06716993,0.1563823,0.3932968,0.5502752,0.06522777,0.1453709,0.4147649,0.6242219
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_0_125_854x480_HW_Q3_CRF10.bin,13.09559,985.561,14.07442,641.2353,24.41874,1845.985,17.14568,2027.537,24.55413,1970.368
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_1000_1125_854x480_HW_Q3_CRF10.bin,16.36302,472.7811,24.13076,966.6551,34.40107,1525.757,31.35341,1625.666,30.8935,1441.026
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_1125_1250_854x480_HW_Q3_CRF10.bin,26.96166,1199.219,42.27586,3411.975,46.59867,3524.013,37.5839,1252.446,44.62094,1729.236
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_1250_1375_854x480_HW_Q3_CRF10.bin,25.82043,1872.342,28.80804,2041.792,43.30904,3333.196,33.13683,3227.38,46.21155,3865.214
